Category,Carbohydrate/g,Data.Cholesterol/mg,Data.Fiber/g,Data.Kilocalories/kcal,Data.Protein/g,Data.Sugar Total/g,Data.Water/g,Data.Fat.Total Lipid/g,Data.Major Minerals.Calcium/mg,Data.Major Minerals.Iron/mg,Data.Major Minerals.Sodium/mg,Data.Vitamins.Vitamin A - IU,Data.Vitamins.Vitamin B12/ug,Data.Vitamins.Vitamin B6/mg,Data.Vitamins.Vitamin C/mg,Data.Vitamins.Vitamin E/mg,Data.Vitamins.Vitamin K/ug
APPLE,13.81,0,2.40,52,0.26,10.39,85.56,0.17,6,0.12,1,54,0,0.041,4.6,0.18,2.2
APRICOT,11.12,0,2,48,1.4,9.24,86.35,0.39,13,0.39,1,1926,0,0.054,10,0.89,3.3
AVOCADO,8.53,0,6.70,160,2,0.66,73.23,14.66,12,0.55,7,146,0,0.257,10,2.07,21
BANANA,22.84,0,2.60,89,1.09,12.23,74.91,0.33,5,0.26,1,64,0,0.367,8.7,0.1,0.5
BLUEBERRY,14.49,0,2.40,57,0.74,9.96,84.21,0.33,6,0.28,1,54,0,0.052,9.7,0.57,19.3
BITTER GOURD,6.68,0,1.90,34,3.6,1.04,88.69,0.2,42,1.02,13,2416,0,0.76,55.6,1.45,163.1
GOURD,14.34,0,0,56,0.66,0.00,84.29,0.34,9,0.36,21,260,0,0.099,5.7,0,0
EGGPLANT,5.7,0,3.40,24,1.01,2.35,92.41,0.19,9,0.24,2,27,0,0.084,2.2,0.3,3.5
BROCCOLI,6.64,0,2.60,34,2.82,1.70,89.3,0.37,47,0.73,33,623,0,0.175,89.2,0.78,101.6
ONION,9.34,0,1.70,40,1.1,4.24,89.11,0.1,23,0.21,4,2,0,0.12,7.4,0.02,0.4
MUSHROOM,3.28,0,1,22,3.09,1.65,92.43,0.34,3,0.5,5,0,0.04,0.104,2.1,0.01,0
CABBAGE,5.8,0,2.5,25,1.28,3.20,92.18,0.1,40,0.47,18,98,0,0.124,36.6,0.15,76
CARROT,9.58,0,2.80,41,0.93,4.74,88.29,0.24,33,0.3,69,16706,0,0.138,5.9,0.66,13.2
CAULIFLOWER,5.3,0,2.5,25,1.98,2.40,91.91,0.1,22,0.44,30,13,0,0.222,46.4,0.08,16
CELERY,2.97,0,1.60,16,0.69,1.83,95.43,0.17,40,0.2,80,449,0,0.074,3.1,0.27,29.3
CHILLI,56.63,0,27.20,318,12.01,10.34,8.05,17.27,148,7.8,30,41610,0,2.45,76.4,29.83,80.3
CHINESE CABBAGE,3.23,0,1.20,16,1.2,1.41,94.39,0.2,77,0.31,9,318,0,0.232,27,0.12,42.9
CORIANDER LEAVES,3.67,0,2.80,23,2.13,0.87,92.21,0.52,67,1.77,46,6748,0,0.149,27,2.5,310
CUCUMBER,3.63,0,0.5,15,0.65,1.67,95.23,0.11,16,0.28,2,105,0,0.04,2.8,0.03,16.4
DATE,75.03,0,8,282,2.45,63.35,20.53,0.39,39,1.02,2,10,0,0.165,0.4,0.05,2.7
STRAWBERRY,7.68,0,2,32,0.67,4.89,90.95,0.3,16,0.41,1,12,0,0.047,58.8,0.29,2.2
CRANBERRY,82.36,0.00,5.70,308,0.07,65.00,16.00,1.37,10.00,0.53,3.00,0.00,0.00,0.04,0.20,1.07,3.80
DURIAN,27.09,0.00,3.80,147,1.47,0.00,64.99,5.33,6.00,0.43,2.00,44.00,0.00,0.32,19.70,0.00,0.00
FIG,19.18,0.00,2.90,74,0.75,16.26,79.11,0.30,35.00,0.37,1.00,142.00,0.00,0.11,2.00,0.11,4.70
JACKFRUIT,24.01,0.00,1.60,94,1.47,0.00,73.23,0.30,34.00,0.60,3.00,297.00,0.00,0.11,6.70,0.00,0.00
WATERMELON,7.55,0.00,0.40,30,0.61,6.20,91.45,0.15,7.00,0.24,1.00,569.00,0.00,0.05,8.10,0.05,0.10
GARLIC,33.06,0.00,2.10,149,6.36,1.00,58.58,0.50,181.00,1.70,17.00,9.00,0.00,1.24,31.20,0.08,1.70
GINGER,70.79,0.00,12.50,347,9.12,3.39,9.38,5.95,116.00,11.52,32.00,147.00,0.00,0.84,7.00,18.02,0.80
GRAPE,17.15,0.00,0.90,67,0.63,16.25,81.30,0.35,14.00,0.29,2.00,100.00,0.00,0.11,4.00,0.19,14.60
GUAVA,14.32,0.00,5.40,68,2.55,8.92,80.80,0.95,18.00,0.26,2.00,624.00,0.00,0.11,228.30,0.73,2.60
